2014-09-30,-0.5964453301827697
2014-10-01,-0.33074860023244856
2014-10-02,-0.35474629572119154
2014-10-03,-0.4125475616091485
2014-10-04,-0.5081319727340887
2014-10-05,-0.7882527701024553
2014-10-06,-0.5154500564586265
2014-10-07,-0.19742761364935812
2014-10-08,-0.16296910384664637
2014-10-09,-0.003722767040929185
2014-10-10,0.32170956733019124
2014-10-11,0.4160447627916752
2014-10-12,0.5468842726047065
2014-10-13,-0.26478949551601344
2014-10-14,0.5614794199236721
2014-10-15,0.47488344128083715
2014-10-16,0.20784887804551155
2014-10-17,0.08618397323507392
2014-10-18,0.2656408019506205
2014-10-19,0.04974574610843918
2014-10-20,0.10543905490124612
2014-10-21,0.3472887149026581
2014-10-22,0.16879046350153315
2014-10-23,-0.1453173430340902
2014-10-24,-0.016008483027355604
2014-10-25,-0.09585475991809006
2014-10-26,-0.03254355313153683
2014-10-27,-0.011128964040644144
2014-10-28,-0.018908475223699216
2014-10-29,0.19133078329639067
2014-10-30,-0.05106076678523201
2014-10-31,-0.2127509126725722
2014-11-01,-0.5482779266148176
2014-11-02,-0.5585301067199016
2014-11-03,-0.539183411456326
2014-11-04,-0.5138586044919896
2014-11-05,-0.576491446169723
2014-11-06,-1.041270527328448
2014-11-07,-1.5449549972392036
2014-11-08,-2.6331979839220385
2014-11-09,-2.6553558827966532
2014-11-10,-1.3709434046901765
2014-11-11,-1.1278197667262537
2014-11-12,-0.2915923633306062
2014-11-13,0.10073521613177228
2014-11-14,0.24053832273019166
2014-11-15,-0.08297380383668412
2014-11-16,-0.12128510181224146
2014-11-17,0.7988048038613351
2014-11-18,0.48596197898234844
2014-11-19,0.5396187276416385
2014-11-20,0.07808372406861999
2014-11-21,-0.21768203567619518
2014-11-22,-0.3670292626573717
2014-11-23,0.13128699668472124
2014-11-24,0.6622113898772964
2014-11-25,0.7360289531051165
2014-11-26,1.0809484711074515
2014-11-27,1.5250301376186242
2014-11-28,1.859612918044006
2014-11-29,2.132625191360285
2014-11-30,2.51842654926822
2014-12-01,2.721659969975735
2014-12-02,2.934176008116682
2014-12-03,2.879853429479113
2014-12-04,2.7686495866437304
2014-12-05,2.732517808439612
2014-12-06,2.6200658834983686
2014-12-07,2.7347486515757518
2014-12-08,2.5142041237719917
2014-12-09,2.1793256010338213
2014-12-10,2.075412456806537
2014-12-11,1.962887471976787
2014-12-12,1.9178779886750565
2014-12-13,1.878634600803668
2014-12-14,1.7537487936045426
2014-12-15,1.5854190976171678
2014-12-16,0.6508160425729482
2014-12-17,0.33126554452859386
2014-12-18,-0.08182823291626556
2014-12-19,-0.2509013410180894
2014-12-20,-0.42441000888634844
2014-12-21,-0.7215922446567976
2014-12-22,-0.8589356125206011
2014-12-23,-1.0667652323648147
2014-12-24,-1.5242881660799177
2014-12-25,-1.6893115207314653
2014-12-26,-1.961127724544915
2014-12-27,-2.137055495992087
2014-12-28,-2.282066255445426
2014-12-29,-2.56317723868287
2014-12-30,-2.69119768478465
2014-12-31,-2.891953032513492
2015-01-01,-3.0006903310368496
2015-01-02,-3.1594724849518414
2015-01-03,-3.5888935254429257
2015-01-04,-3.698663499921589
2015-01-05,-3.6125277660973154
2015-01-06,-3.4895465779678387
2015-01-07,-3.300223698040175
2015-01-08,-3.2971908760634956
2015-01-09,-3.355728732889205
2015-01-10,-3.3083311279291685
2015-01-11,-3.0600716128357286
2015-01-12,-2.9460511509999647
2015-01-13,-2.511842374436443
2015-01-14,-2.2366563664845103
2015-01-15,-2.2822811374986904
2015-01-16,-2.1486859033236607
2015-01-17,-2.0159337293106523
2015-01-18,-1.9881531512922754
2015-01-19,-1.9504322715948283
2015-01-20,-1.9313460143971912
2015-01-21,-1.997576290519424
2015-01-22,-1.918733612555728
2015-01-23,-1.7906546119468694
2015-01-24,-1.6803032722467492
2015-01-25,-1.4950601408359052
2015-01-26,-1.5721893376953886
2015-01-27,-1.4296105671277162
2015-01-28,-1.2903069869314903
2015-01-29,-1.1996663459701944
2015-01-30,-1.1556523185927785
2015-01-31,-1.0859168189090727
2015-02-01,-1.354525710108113
2015-02-02,-1.3227798862152935
2015-02-03,-1.131994816238085
2015-02-04,-1.1404146758898785
2015-02-05,-1.0473040866347643
2015-02-06,-1.009002743317636
2015-02-07,-1.0116104220494806
2015-02-08,-0.9183138484938311
2015-02-09,-1.2230253643649223
2015-02-10,-1.318342506119048
2015-02-11,-1.4468448528124043
2015-02-12,0.026090263725462453
2015-02-13,0.4596156141815518
2015-02-14,0.9052424372679012
2015-02-15,1.0962367538297855
2015-02-16,1.2461125705578553
2015-02-17,1.432871113318544
2015-02-18,1.5013669358806239
2015-02-19,1.6492806170515082
2015-02-20,1.7657777209646928
2015-02-21,1.8452895899567454
2015-02-22,1.911028199202023
2015-02-23,1.9746105683520039
2015-02-24,1.9608630675832852
2015-02-25,2.0085947280140477
2015-02-26,2.039855196711925
2015-02-27,2.039483121694571
2015-02-28,2.0061007592135742
2015-03-01,2.0088048966883214
2015-03-02,1.9822678007912367
2015-03-03,1.9545736396145281
2015-03-04,1.8601709795164272
2015-03-05,1.7857965456351759
2015-03-06,1.7050241272971145
2015-03-07,1.622488919326448
2015-03-08,1.5352021663259834
2015-03-09,1.4706520855788916
2015-03-10,1.4788731670961155
2015-03-11,1.3972558277536866
2015-03-12,1.3348760865134368
2015-03-13,1.2594339949634963
2015-03-14,1.1770472671187853
2015-03-15,1.0990774301313107
2015-03-16,1.0448423605574175
2015-03-17,0.9719983934081341
2015-03-18,0.8063952107236777
2015-03-19,0.7666561065352269
2015-03-20,0.72903836870661
2015-03-21,0.6638623546469106
2015-03-22,0.7242010270619123
2015-03-23,0.7128955573122197
2015-03-24,0.6481839275380787
2015-03-25,0.684533490967747
2015-03-26,0.6756750391025133
2015-03-27,0.6131989678120433
2015-03-28,0.5811904695416669
2015-03-29,0.5101771744972005
2015-03-30,0.4867258642558025
2015-03-31,0.4413209077989277
2015-04-01,0.41827248703137127
2015-04-02,0.42752558721376516
2015-04-03,0.43076888648075934
2015-04-04,0.4063484249618495
2015-04-05,0.4124417227312884
2015-04-06,0.4078418652579784
2015-04-07,0.39831202598995125
2015-04-08,0.384735950715873
2015-04-09,0.361619066174183
2015-04-10,0.33662381488334514
2015-04-11,0.3340927532178305
2015-04-12,0.5347496518941115
2015-04-13,0.39977030889701265
2015-04-14,0.39375761451827496
2015-04-15,0.29867241932197997
2015-04-16,0.318249174604585
2015-04-17,0.09728836968712135
2015-04-18,-0.050028113449770886
2015-04-19,-0.3734260853527018
2015-04-20,-0.5193666099897808
2015-04-21,-0.6843454624865756
2015-04-22,-0.7210969144821454
2015-04-23,-0.8232156178420268
2015-04-24,-1.135350444124938
2015-04-25,-1.4360525348264332
2015-04-26,-2.025790766022702
2015-04-27,-1.8806787244119427
2015-04-28,-2.1610494942053573
2015-04-29,-2.280220292944155
2015-04-30,-1.9928762174678256
2015-05-01,-2.1395962097706156
2015-05-02,-2.130199256212321
2015-05-03,-2.106205286604335
2015-05-04,-2.2735971821939787
2015-05-05,-2.267533283582286
2015-05-06,-2.342326672014798
2015-05-07,-2.0351037924874555
2015-05-08,-1.912669587454811
2015-05-09,-1.9797962972466026
2015-05-10,-2.0016781861353934
2015-05-11,-2.0251388554825733
2015-05-12,-1.9552242083043703
2015-05-13,-1.9502931908272252
2015-05-14,-2.0144655906463464
2015-05-15,-1.9837329183168042
2015-05-16,-1.971388594425405
2015-05-17,-1.8698490867250064
2015-05-18,-1.7667392662225658
2015-05-19,-1.6905045821606453
2015-05-20,-1.5463191583367113
2015-05-21,-1.3549494757884961
2015-05-22,-0.13074480391095533
2015-05-23,-0.10883245373875361
2015-05-24,0.07052176191179325
2015-05-25,0.041749090360584544
2015-05-26,0.26949016036741935
2015-05-27,0.5322809900224974
2015-05-28,0.5892532183105327
2015-05-29,0.6587658706773717
2015-05-30,0.7815095808500655
2015-05-31,0.33176320810357235
2015-06-01,0.4320155010012765
2015-06-02,0.7600278903490182
2015-06-03,1.1269001788757202
2015-06-04,1.408348422485162
2015-06-05,2.3016741750997984
2015-06-06,3.0364945085256796
2015-06-07,3.5387084896435086
2015-06-08,4.176626534181366
2015-06-09,4.150444478250771
2015-06-10,3.811440842075444
2015-06-11,3.800494623493439
2015-06-12,3.6615657880537933
2015-06-13,3.477355207790491
2015-06-14,3.437824949740968
2015-06-15,3.162586347089817
2015-06-16,4.262485156526464
2015-06-17,3.38796154969362
2015-06-18,2.893634939744984
2015-06-19,2.0453965180284293
2015-06-20,2.243716167217248
2015-06-21,2.0599880029415654
2015-06-22,1.783572157464683
2015-06-23,0.32352718981644696
2015-06-24,-0.9156350626471423
2015-06-25,-1.667510974298739
2015-06-26,-2.5612990138545895
2015-06-27,-2.783325012216195
2015-06-28,-3.1579919332664956
2015-06-29,-2.693681097318604
2015-06-30,-2.8644214827779577
2015-07-01,-3.1195993351377607
2015-07-02,-2.903753336166753
2015-07-03,-3.3539300602404705
2015-07-04,-4.311710897529373
2015-07-05,-4.296008548855854
2015-07-06,-4.473800356222175
2015-07-07,-4.461287454171142
2015-07-08,-3.9701825813775784
2015-07-09,-3.9215488561021554
2015-07-10,-5.627882270867242
2015-07-11,-2.107808721203164
2015-07-12,-1.6111732898654758
2015-07-13,-1.2736190707021162
2015-07-14,-1.1924082387082626
2015-07-15,-1.178808158743557
2015-07-16,-1.1453769259875677
2015-07-17,-1.1489244090700668
2015-07-18,-0.9480590181818176
2015-07-19,-0.8540295576205604
2015-07-20,-0.7590039512008523
2015-07-21,-0.658167926843968
2015-07-22,-0.5787276386645032
2015-07-23,-0.4810964305044429
2015-07-24,-0.290530432911512
2015-07-25,-0.24518048419826247
2015-07-26,-0.1819463663846276
2015-07-27,-0.10343902592168465
2015-07-28,0.0639431803640608
2015-07-29,0.08430584780337275
2015-07-30,0.10433955590687169
2015-07-31,0.1743390209615424
2015-08-01,0.18120657561610237
2015-08-02,0.2630493417191543
2015-08-03,0.34616394721064775
2015-08-04,0.45864529548713806
2015-08-05,0.5441623309446244
2015-08-06,0.576177577430741
2015-08-07,0.7566627292992807
2015-08-08,0.8037457691673555
2015-08-09,0.8729231864336368
2015-08-10,0.9620085851576274
2015-08-11,1.0517720602006604
2015-08-12,1.1070168899233255
2015-08-13,1.1482941403482387
2015-08-14,1.2397709450284067
2015-08-15,1.2952320582111578
2015-08-16,1.3264113752960025
2015-08-17,1.3520985336286653
2015-08-18,1.2882436652587939
2015-08-19,1.293513878960128
2015-08-20,1.2888425192321913
2015-08-21,1.2719335358692845
2015-08-22,1.2455220518633214
2015-08-23,1.193775241010687
2015-08-24,1.108946502494818
2015-08-25,1.022081336883525
2015-08-26,0.9565042366316254
2015-08-27,0.8863264537106518
2015-08-28,0.823366813751842
2015-08-29,0.7446177058847294
2015-08-30,0.6682398936506121
2015-08-31,0.5914808027273954
2015-09-01,0.5257826754146989
2015-09-02,0.4632536432552907
2015-09-03,0.3787106460925878
2015-09-04,0.33791394669819447
2015-09-05,0.31943138575800095
2015-09-06,0.30289278197826186
2015-09-07,0.2826838372850802
2015-09-08,0.38838289664563425
2015-09-09,0.2530607361945908
2015-09-10,0.24003032664552273
2015-09-11,0.2272173694823448
2015-09-12,0.10692695716833472
2015-09-13,0.10683098501819899
2015-09-14,0.0785776055172699
2015-09-15,-0.004930706188277852
2015-09-16,-0.14247005322762032
2015-09-17,-0.16412245959145258
2015-09-18,-0.28865323678373184
2015-09-19,-0.3647229660292667
2015-09-20,-0.505877142356875
2015-09-21,-0.620459189777165
2015-09-22,-0.8061135286918648
2015-09-23,-0.8130648352226645
2015-09-24,-0.8387502041090001
2015-09-25,-0.9453972060879742
2015-09-26,-0.8474723197617743
2015-09-27,-0.8511661639115545
2015-09-28,-0.6682798173584871
2015-09-29,-0.7081315666484964
2015-09-30,-0.6607544281390555
2015-10-01,-0.6928514752748055
2015-10-02,-0.6962798710663931
2015-10-03,-0.6552006110702083
2015-10-04,-0.698203464407432
2015-10-05,-1.0317645530266475
2015-10-06,-1.1889300888188086
2015-10-07,-1.250087235006613
2015-10-08,-1.1725934421573907
2015-10-09,-1.0088318321721308
2015-10-10,-1.03411968805961
2015-10-11,-0.7040782052588417
2015-10-12,-0.42828693616049823
2015-10-13,-0.24490865631915726
2015-10-14,0.13993716873703438
2015-10-15,0.66265671889615
2015-10-16,1.307724776371635
2015-10-17,2.164334738634689
2015-10-18,2.4518667821147644
2015-10-19,2.824610447291871
2015-10-20,3.4704824875287343
2015-10-21,4.00651275697799
2015-10-22,4.323930403848774
2015-10-23,4.265213676652846
2015-10-24,3.8200829665874108
2015-10-25,3.495591422903312
2015-10-26,3.33568722923766
2015-10-27,3.069946963583475
2015-10-28,2.912648168599715
2015-10-29,3.232538679394563
2015-10-30,3.134870552717061
2015-10-31,2.2281299632558618
2015-11-01,2.2547948314308117
2015-11-02,1.4641188646261423
2015-11-03,0.9076931736485081
2015-11-04,-0.18471834326559927
2015-11-05,-0.7601005118563986
2015-11-06,-1.4247430143786273
2015-11-07,-1.2843981357512226
2015-11-08,-1.1344108254980814
2015-11-09,-1.2012952296415869
2015-11-10,-1.261064232637918
2015-11-11,-1.2388355642809692
2015-11-12,-1.37605243707566
2015-11-13,-1.3636924719654366
2015-11-14,-1.2004429793571825
2015-11-15,-1.2225441038326263
2015-11-16,-1.1797493270608113
2015-11-17,-1.1393531253029856
2015-11-18,-1.2513275436722384
2015-11-19,-1.1584169129528286
2015-11-20,-1.1592628747258864
2015-11-21,-1.0955906029212013
2015-11-22,-0.9941103125508566
2015-11-23,-0.9804870371179948
2015-11-24,-0.9151599260179252
2015-11-25,-0.8139702784585687
2015-11-26,-0.626659959966325
2015-11-27,-0.5302607175438836
2015-11-28,-0.40796817048967865
2015-11-29,-0.24166037432912674
2015-11-30,-0.1656748548878363
2015-12-01,-0.10786344943196714
2015-12-02,-0.08708343971114298
2015-12-03,-0.07585652740058077
2015-12-04,-0.026724822468606486
2015-12-05,0.10612557008932773
2015-12-06,0.10935000703388921
2015-12-07,0.23336268287513567
2015-12-08,0.2524359781870967
2015-12-09,0.21022580740370744
2015-12-10,0.24280172252217866
2015-12-11,0.21046578892623038
2015-12-12,0.17210776600502123
2015-12-13,0.1378248035000984
