date,close,high,low,open,since,volume,weightedAverage
08/08/2015 00:30,2.55999,2.55999,2.55999,2.55999,1.44E+18,49.95,2.55999
08/08/2015 03:30,2.3,2.3,2.3,2.3,1.44E+18,20,2.3
08/08/2015 06:30,2.26506,2.26507,2.26506,2.26507,1.44E+18,50,2.265065684
08/08/2015 07:00,2.59809,2.59809,2.59809,2.59809,1.44E+18,4,2.59809
08/08/2015 07:30,2.4,2.57951,2.4,2.57951,1.44E+18,14.38998999,2.524746438
08/08/2015 08:30,2.4,2.4,2.4,2.4,1.44E+18,13.09409999,2.4
08/08/2015 09:00,2.55554,2.55554,2.4,2.55,1.44E+18,128.3904312,2.542164499
08/08/2015 09:30,1.91,2.29,1.9,2.29,1.44E+18,1730.593673,2.080628064
08/08/2015 10:00,1.4,1.905,1.4,1.905,1.44E+18,2285.243934,1.591925414
08/08/2015 10:30,1.44999,1.56981,1.3,1.4,1.44E+18,789.1799,1.506281487
08/08/2015 11:00,1.4,1.4,1.3,1.3,1.44E+18,645.9429802,1.315790115
08/08/2015 11:30,1.2,1.35,1.2,1.34997,1.44E+18,385.2131601,1.240542126
08/08/2015 12:30,1.25,1.32999,1.25,1.32999,1.44E+18,303.08926,1.263349448
08/08/2015 13:00,1.32,1.32999,1.32,1.32999,1.44E+18,154.6363636,1.323940794
08/08/2015 13:30,1.21,1.21,1.21,1.21,1.44E+18,50,1.21
08/08/2015 14:00,1.23,1.29763,1.23,1.29763,1.44E+18,19.66,1.245479908
08/08/2015 15:00,1.2602,1.32,1.2602,1.31766,1.44E+18,350,1.30127766
08/08/2015 15:30,1.21,1.31999,1.21,1.27,1.44E+18,1257.654525,1.308429257
08/08/2015 16:00,1.15,1.21,1.10002,1.21,1.44E+18,1356.247033,1.164048932
08/08/2015 16:30,1.05,1.13,1.05,1.13,1.44E+18,138.54362,1.084142677
08/08/2015 17:00,1.14999,1.1551,0.99,1.05551,1.44E+18,2745.259782,1.016594909
08/08/2015 17:30,1,1.149,0.91,0.91,1.44E+18,1083.90057,0.999390118
08/08/2015 18:00,0.7294,0.94,0.7294,0.94,1.44E+18,2088.715649,0.801124972
08/08/2015 18:30,0.75,0.89999,0.7294,0.89999,1.44E+18,4331.708266,0.766906595
08/08/2015 19:00,0.75,0.75,0.65001,0.65001,1.44E+18,967.4106099,0.702585094
08/08/2015 19:30,0.65001,0.7,0.65001,0.7,1.44E+18,253.5,0.66056213
08/08/2015 20:00,0.7,0.7,0.56159,0.65001,1.44E+18,4652.201735,0.652499023
08/08/2015 21:00,0.90968,0.96,0.6501,0.767,1.44E+18,666.5140371,0.881109421
08/08/2015 21:30,0.889,0.889,0.88126,0.88126,1.44E+18,254.2909,0.883673423
08/08/2015 22:00,0.809,0.89,0.809,0.88126,1.44E+18,3231.218963,0.888435275
08/08/2015 22:30,0.65001,0.809,0.65001,0.809,1.44E+18,878.5164103,0.660468615
08/08/2015 23:00,0.80867,0.80867,0.66,0.66034,1.44E+18,506.3388748,0.660327192
08/08/2015 23:30,0.65001,0.66,0.65001,0.66,1.44E+18,787.7757769,0.656916997
09/08/2015 00:00,0.65,0.65001,0.65,0.65001,1.44E+18,2036.093633,0.650009951
09/08/2015 00:30,0.52353,0.6,0.52353,0.6,1.44E+18,498.66665,0.569026668
09/08/2015 01:30,0.6,0.6168,0.6,0.6168,1.44E+18,562.6695667,0.604477761
09/08/2015 05:00,0.8,0.8,0.8,0.8,1.44E+18,80,0.8
